               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02617,           0.0098706,           0.0026927,             0.78388,             0.66027,             0.70256,             0.37965,            0.022212,            0.012453,            0.002664,             0.00307,             0.00307,             0.00307
                  37,            0.026036,           0.0097641,           0.0025554,             0.78759,             0.66013,             0.70393,             0.38005,            0.022213,            0.012445,           0.0026612,            0.002872,            0.002872,            0.002872
                  38,            0.025669,           0.0096733,            0.002485,             0.78678,              0.6589,             0.70338,             0.37995,             0.02221,            0.012435,           0.0026611,            0.002674,            0.002674,            0.002674
                  39,            0.025526,           0.0095643,           0.0023894,             0.79255,             0.65413,              0.7026,             0.38043,            0.022212,             0.01243,           0.0026629,            0.002476,            0.002476,            0.002476
                  40,            0.025396,           0.0095734,           0.0024781,             0.78858,             0.65552,             0.70263,             0.38052,            0.022211,            0.012423,           0.0026598,            0.002278,            0.002278,            0.002278
                  41,            0.024969,           0.0093716,           0.0023155,             0.79172,             0.65336,             0.70215,             0.38075,            0.022208,            0.012416,            0.002659,             0.00208,             0.00208,             0.00208
                  42,             0.02487,           0.0094351,           0.0022103,             0.79157,             0.65094,             0.70295,             0.38079,            0.022201,            0.012408,           0.0026573,            0.001882,            0.001882,            0.001882
                  43,            0.024637,           0.0093311,           0.0021799,             0.79333,             0.65022,             0.70272,             0.38097,            0.022198,            0.012403,           0.0026552,            0.001684,            0.001684,            0.001684
                  44,            0.024419,           0.0092429,           0.0021918,              0.7933,               0.648,             0.70264,             0.38112,            0.022191,            0.012398,           0.0026546,            0.001486,            0.001486,            0.001486
                  45,            0.024252,           0.0091685,            0.002112,             0.79605,             0.64744,             0.70269,             0.38153,             0.02219,            0.012398,            0.002655,            0.001288,            0.001288,            0.001288
                  46,            0.023819,           0.0091398,           0.0020883,             0.79584,             0.64635,             0.70181,             0.38153,             0.02219,            0.012398,           0.0026555,             0.00109,             0.00109,             0.00109
                  47,            0.023727,           0.0090495,            0.002063,             0.79316,             0.64569,             0.70076,             0.38153,             0.02219,            0.012397,           0.0026569,            0.000892,            0.000892,            0.000892
                  48,             0.02356,           0.0089291,           0.0019226,             0.79131,               0.647,             0.70054,             0.38123,            0.022187,            0.012395,           0.0026567,            0.000694,            0.000694,            0.000694
                  49,            0.023245,           0.0089576,           0.0018446,              0.7684,             0.65904,             0.69988,              0.3814,            0.022187,            0.012395,           0.0026578,            0.000496,            0.000496,            0.000496
